Tarih,imdi,Açılış,Yüksek,Düşük,Hac.,Fark 
02.01.2023,18.7148,18.6962,18.7542,18.5378,,0.13
30.12.2022,18.6905,18.696,18.7238,18.5262,,0.01
29.12.2022,18.6877,18.7028,18.7504,18.6691,,-0.12
29.12.2022,18.7096,18.7319,18.7464,18.5486,,0.11
28.12.2022,18.6889,18.7009,18.7467,18.6688,,-0.16
28.12.2022,18.718,18.6692,18.7465,18.4954,,0.22
27.12.2022,18.6777,18.6669,18.7736,18.6151,,-0.13
27.12.2022,18.702,18.6948,18.83,18.5282,,0.19
26.12.2022,18.667,18.6603,18.7948,18.6164,,-0.11
26.12.2022,18.6878,18.6831,18.7533,18.474,,0.12
23.12.2022,18.6657,18.6442,18.7217,18.486,,0.05
22.12.2022,18.657,18.6422,18.7208,18.6115,,-0.04
22.12.2022,18.6653,18.5048,18.7097,18.5029,,0.12
21.12.2022,18.6424,18.622,18.7042,18.6219,,-0.18
21.12.2022,18.6769,18.6501,18.707,18.475,,0.14
20.12.2022,18.6502,18.6479,18.7076,18.5987,,-0.06
20.12.2022,18.6621,18.656,18.6898,18.4811,,0.12
19.12.2022,18.6406,18.6353,18.6833,18.6219,,-0.06
19.12.2022,18.6526,18.478,18.6742,18.477,,0.07
16.12.2022,18.6393,18.6274,18.676,18.463,,-0.04
15.12.2022,18.646,18.6264,18.681,18.5957,,0.02
15.12.2022,18.6418,18.6295,18.6662,18.434,,0.21
14.12.2022,18.6031,18.5954,18.6791,18.554,,-0.13
14.12.2022,18.6282,18.6197,18.6587,18.419,,0.13
13.12.2022,18.6035,18.597,18.6685,18.5361,,0.15
13.12.2022,18.575,18.7922,18.8685,18.573,,0.02
12.12.2022,18.5717,18.6241,18.7085,18.5362,,-0.37
12.12.2022,18.64,18.6504,18.6814,18.4485,,-0.07
09.12.2022,18.6538,18.6408,18.6743,18.4535,,0.02
08.12.2022,18.6503,18.6113,18.6905,18.6113,,0.04
08.12.2022,18.6427,18.6467,18.6685,18.4573,,0.10
07.12.2022,18.6243,18.6203,18.686,18.6115,,-0.09
07.12.2022,18.6404,18.6294,18.6559,18.4439,,0.11
06.12.2022,18.6203,18.617,18.6565,18.5964,,-0.06
06.12.2022,18.6323,18.6266,18.6585,18.4503,,0.04
05.12.2022,18.6248,18.6346,18.66,18.5997,,-0.10
05.12.2022,18.6434,18.6501,18.7123,18.4557,,0.06
02.12.2022,18.633,18.6339,18.6915,18.4527,,0.01
01.12.2022,18.6303,18.6277,18.7069,18.6096,,-0.04
01.12.2022,18.6377,18.5964,18.6705,18.4454,,0.14
30.11.2022,18.6115,18.6099,18.6913,18.5756,,0.00
30.11.2022,18.6121,18.6563,18.6856,18.4826,,0.12
29.11.2022,18.5895,18.6567,18.726,18.5848,,-0.27
29.11.2022,18.6394,18.6185,18.6769,18.419,,0.14
28.11.2022,18.6138,18.6005,18.6863,18.5846,,-0.09
28.11.2022,18.6305,18.602,18.6528,18.448,,0.21
25.11.2022,18.5913,18.6091,18.6587,18.4462,,0.05
24.11.2022,18.5816,18.5795,18.6619,18.5707,,-0.15
